region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Casablanca-Settat,2025,12,2.5849355419468445,0.8843806332500184,4.285490450643671
Casablanca-Settat,2026,1,2.6115574191621054,0.8927130977208606,4.33040174060335
Casablanca-Settat,2026,2,2.5592602490078273,0.865699913355674,4.252820584659981
Casablanca-Settat,2026,3,2.5080339600359354,0.836485204460687,4.1795827156111836
Casablanca-Settat,2026,4,2.608126804970893,0.892490642713605,4.3237629672281805
Casablanca-Settat,2026,5,2.6182304612466165,0.8957506828891604,4.340710239604073
Casablanca-Settat,2026,6,2.608349130740624,0.8874194652326912,4.329278796248557
Casablanca-Settat,2026,7,2.385633020281209,0.7670751622133032,4.004190878349115
Casablanca-Settat,2026,8,2.3726239447829034,0.7588987369693831,3.9863491525964236
Casablanca-Settat,2026,9,2.4705619744586995,0.8177883384371982,4.123335610480201
Casablanca-Settat,2026,10,2.4800312269067324,0.8241420760986136,4.135920377714851
Casablanca-Settat,2026,11,2.4459727876758275,0.804509498404113,4.087436076947542
Casablanca-Settat,2026,12,2.5848768091164347,0.8843421145977881,4.285411503635081
Casablanca-Settat,2027,1,2.611268613381682,0.8925421596981244,4.329995067065239
Casablanca-Settat,2027,2,2.559254957766678,0.8656964453357516,4.252813470197605
Casablanca-Settat,2027,3,2.5080231151795305,0.8364781445852068,4.179568085773854
Casablanca-Settat,2027,4,2.6081484283760594,0.8925048809236991,4.32379197582842
Casablanca-Settat,2027,5,2.618246791495292,0.8957614791899586,4.340732103800626
Casablanca-Settat,2027,6,2.6083432675737197,0.8874155946479318,4.329270940499508
Casablanca-Settat,2027,7,2.38562908396271,0.767072643612627,4.004185524312793
Casablanca-Settat,2027,8,2.3722140876488433,0.7586393461103376,3.9857888291873493
Casablanca-Settat,2027,9,2.4705619744586995,0.8177883384371982,4.123335610480201
Casablanca-Settat,2027,10,2.4799397224071993,0.824082826276372,4.135796618538027
Casablanca-Settat,2027,11,2.4459729198374425,0.8045095836428624,4.0874362560320225
Casablanca-Settat,2027,12,2.584860923726301,0.8843316833597847,4.285390164092817
Casablanca-Settat,2028,1,2.6122910050643666,0.8932106707527165,4.331371339376017
Casablanca-Settat,2028,2,2.559230997459685,0.8656807988051702,4.252781196114199
Casablanca-Settat,2028,3,2.509724666203041,0.8374212828848611,4.182028049521221
Casablanca-Settat,2028,4,2.609163159082179,0.892932401311036,4.325393916853322
Casablanca-Settat,2028,5,2.618479611308697,0.8959143441155835,4.341044878501811
Casablanca-Settat,2028,6,2.6083832945899355,0.887442055910217,4.329324533269654
Casablanca-Settat,2028,7,2.387773035132676,0.7684635207576502,4.007082549507702
Casablanca-Settat,2028,8,2.372159610900423,0.7586051648094161,3.98571405699143
Casablanca-Settat,2028,9,2.4705619744590823,0.817788338437446,4.123335610480718
Casablanca-Settat,2028,10,2.479930683792922,0.8240769727390937,4.13578439484675
Casablanca-Settat,2028,11,2.445973707770842,0.8045100917801988,4.087437323761485
Casablanca-Settat,2028,12,2.584418046261435,0.8841016887235471,4.284734403799323
Casablanca-Settat,2029,1,2.61226553495876,0.8931938595720159,4.331337210345504
Casablanca-Settat,2029,2,2.5592271668185442,0.865678290474865,4.252776043162223
Casablanca-Settat,2029,3,2.5102795115051646,0.8377792388714711,4.182779784138858
Casablanca-Settat,2029,4,2.608835878580361,0.8927187755175641,4.324952981643158
Casablanca-Settat,2029,5,2.618810310163814,0.8961304551042373,4.341490165223391
Casablanca-Settat,2029,6,2.6083669521369792,0.8874313570429937,4.329302547230965
Casablanca-Settat,2029,7,2.3885294575937577,0.7689398360303477,4.008119079157168
Casablanca-Settat,2029,8,2.3714648889677754,0.758161150883411,3.98476862705214
Casablanca-Settat,2029,9,2.470593518649333,0.8178087436869694,4.1233782936116965
Casablanca-Settat,2029,10,2.4799132180493344,0.8240656632263359,4.135760772872333
Casablanca-Settat,2029,11,2.4459747284208584,0.8045107499589399,4.087438706882777
Casablanca-Settat,2029,12,2.5843995220354112,0.8840894534645607,4.284709590606262
Casablanca-Settat,2030,1,2.6124639097253195,0.8933239779369542,4.331603841513685
Casablanca-Settat,2030,2,2.5593227794300417,0.8657404452879451,4.2529051135721385
Casablanca-Settat,2030,3,2.510295835180165,0.8378411542358895,4.182750516124441
Casablanca-Settat,2030,4,2.60841152139383,0.8924424201053427,4.324380622682318
Casablanca-Settat,2030,5,2.618685320821285,0.8960481109068141,4.341322530735756
Casablanca-Settat,2030,6,2.6083083710834396,0.8873927036029614,4.329224038563918
Casablanca-Settat,2030,7,2.3885376182969615,0.7689451452809246,4.0081300913129985
Casablanca-Settat,2030,8,2.3709149308919044,0.7578134950063287,3.98401636677748
Casablanca-Settat,2030,9,2.4705855401469052,0.817803581371439,4.123367498922372
Casablanca-Settat,2030,10,2.479896127794076,0.8240546245836564,4.1357376310044955
Casablanca-Settat,2030,11,2.4455607127793546,0.804247527270703,4.086873898288006
Casablanca-Settat,2030,12,2.5843761819278286,0.8840741284099463,4.2846782354457105
Casablanca-Settat,2031,1,2.612440724989497,0.8933086610860208,4.331572788892974
Casablanca-Settat,2031,2,2.5605989718777327,0.8665669869599746,4.2546309567954905
Casablanca-Settat,2031,3,2.5102973198799363,0.8378421210487601,4.182752518711112
