rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
254,ida ouguerd,Essaouira,2,Aguerd,0.706,Ida Ougoummad,0.75,Al Haouz,44.05191059841384,
255,ibrghoussne,Tinghir,2,Ait Ouassif,0.455,Tighedouine,0.636,Al Haouz,44.196106705118964,
256,iazaneen,Nador,2,Iaazzanene,0.778,Iaazzanene,0.778,Nador,44.34030281182408,
257,hay salam kelaa,Tinghir,2,Ait Sedrate Sahl El Gharbia,0.476,Had Al Gharbia,0.483,Tanger-Assilah,44.4844989185292,
258,Chouiter,Al Haouz,2,Tighedouine,0.526,Aïn Chouater,0.7,Errachidia,44.62869502523432,
259,Bouzemalne,Taza,2,Bouyablane,0.7,Boulemane,0.842,Boulemane,44.77289113193944,
260,Jiyarin,Taza,2,Jbarna,0.615,Bni Yagrine,0.667,Settat,44.917087238644555,
261,J Melha,Sidi Kacem,2,Selfat,0.462,Jorf El Melha,0.7,Ouezzane,45.06128334534968,
262,Isskssi,Azilal,2,Tisqi,0.5,Isseksi,0.857,Béni Mellal,45.205479452054796,
263,Ikaouen,Al Hoceïma,2,Imzouren,0.667,Imaouen,0.857,Taroudant,45.34967555875991,
264,Igraouen,Khouribga,2,Mrizigue,0.5,Imaouen,0.8,Taroudant,45.49387166546503,
265,Darksdani,Driouch,2,Dar El Kebdani,0.696,Dar El Kebdani,0.696,Driouch,45.63806777217015,
266,Cmsu,Agadir-Ida Ou Tanane,2,Imsouane,0.5,Missour,0.545,Boulemane,45.78226387887527,
267,A.ali Youssef,Al Hoceïma,1,Aït Youssef Ou Ali,0.645,Oulad Ali Youssef,0.8,Boulemane,45.85436193222783,
268,A.D.C,Sidi Kacem,1,Sidi Kacem,0.267,Agdz,0.444,Ouarzazate,45.92645998558039,
269,A. Taorirt,Al Hoceïma,1,Arbaa Taourirt,0.75,Taourirt,0.778,Taourirt,45.99855803893295,
