rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
126,S K,Sidi Kacem,Rabat-Salé-Kénitra,8,Sidi Kacem,0.462,Saka,0.571,Guercif,65.15527950310559,
127,Beni hassen,Azilal,Béni Mellal-Khénifra,8,Bni Hassane,0.818,Bni Hassane,0.818,Azilal,65.27950310559007,
128,Afouear,Azilal,Béni Mellal-Khénifra,8,Taounza,0.571,Afourar,0.857,Béni Mellal,65.40372670807453,
129,khmiss,Tinghir,Drâa-Tafilalet,8,Souk Lakhmis Dades,0.5,Khémisset,0.8,Khemisset,65.527950310559,
130,Tizqui,Azilal,Béni Mellal-Khénifra,8,Tisqi,0.727,Tisqi,0.727,Azilal,65.65217391304348,
131,Assg,Tinghir,Drâa-Tafilalet,8,Assoul,0.6,Assa,0.75,Assa-Zag,65.77639751552795,
132,Taouloklot,Chichaoua,Marrakech-Safi,8,Taouloukoult,0.818,Taouloukoult,0.818,Chichaoua,65.90062111801242,
133,Ait Idir,Tinghir,Drâa-Tafilalet,8,Aït Hani,0.625,Ait Said,0.75,Essaouira,66.0248447204969,
134,Sahraoua,Sidi Kacem,Rabat-Salé-Kénitra,8,Bab Tiouka,0.444,Maghraoua,0.824,Taza,66.14906832298136,
135,Zaouia,Sidi Kacem,Rabat-Salé-Kénitra,8,Zaggota,0.615,Mzoudia,0.769,Chichaoua,66.27329192546584,
136,,Al Haouz,Marrakech-Safi,7,Zerkten,0.0,,0.0,,66.38198757763975,
137,tabrkhachte,Tinghir,Drâa-Tafilalet,7,Souk Lakhmis Dades,0.345,Tamchachate,0.727,El Hajeb,66.49068322981367,
138,Lakhmiss Dadès,Ouarzazate,Drâa-Tafilalet,7,Ghassate,0.455,Souk Lakhmis Dades,0.812,Tinghir,66.59937888198758,
139,Chtioui,Fquih Ben Salah,Béni Mellal-Khénifra,7,Bni Oukil,0.5,Tiouli,0.769,Jerada,66.7080745341615,
140,lbrouj,Settat,Casablanca-Settat,7,Lahouaza,0.429,El Borouj,0.8,Khouribga,66.8167701863354,
141,Beni sadden,Sefrou,Fès-Meknès,7,Aït Seghrouchen,0.154,Bni Said,0.737,Tétouan,66.92546583850931,
142,ait yassine,Tinghir,Drâa-Tafilalet,7,Ait Ouassif,0.727,Ait Yadine,0.857,Khemisset,67.03416149068323,
